market,country,city,user_id,start_date,day_of_week,box_id,assembly_line,checks_error_category,checks_error_quantity,stations,checks_confirmed_skus_count,checks_error_sku,checks_error_sku_mealkit_number,checks_error_sku_name,total_number_of_boxs
DACH,DE,Verden,0148,2026-03-06,Friday,TV35967982A,A01,missing,1,4,3,CON-00-151115-2,null,FA-NO Pulled beef bowl med cheddar og peberfrugt (FE1348),120
DACH,DE,Verden,0571,2026-03-06,Friday,TV35968026A,A05,wrong_item,1,null,8,CON-00-147824-2,null,FA-NO Svinemørbrad i cremet hvidløg-sennepssauce (FE0169),120
DACH,DE,Verden,0571,2026-03-06,Friday,TV35968026A,A05,wrong_item,1,null,8,CON-00-147871-2,null,FA-NO Laks i dild- og sennepssauce (FE4009),120
DACH,DE,Verden,0571,2026-03-06,Friday,TV35968453A,A05,missing,1,11,0,CON-00-147906-2,null,FA-NO Pulled beef med cheddar (FE4063),120
DACH,DE,Verden,0148,2026-03-06,Friday,TV35969097A,A01,null,null,null,0,null,null,null,120
DACH,DE,Verden,0148,2026-03-06,Friday,TV35969097A,A01,null,null,null,0,null,null,null,120
DACH,DE,Verden,0571,2026-03-06,Friday,TV35969965A,A05,null,null,null,0,null,null,null,120
DACH,DE,Verden,0571,2026-03-06,Friday,TV35969965A,A05,null,null,null,0,null,null,null,120
DACH,DE,Verden,0571,2026-03-06,Friday,TV35970020A,A05,null,null,null,0,null,null,null,120
DACH,DE,Verden,0571,2026-03-06,Friday,TV35970020A,A05,null,null,null,0,null,null,null,120
DACH,DE,Verden,0571,2026-03-06,Friday,TV35970020A,A05,null,null,null,6,null,null,null,120
DACH,DE,Verden,0192,2026-03-06,Friday,TZ36037445A,A04,null,null,null,0,null,null,null,120
DACH,DE,Verden,0192,2026-03-06,Friday,TZ36037445A,A04,null,null,null,0,null,null,null,120
DACH,DE,Verden,0571,2026-03-06,Friday,TZ36037517A,A03,wrong_item,2,null,11,N/A,null,null,120
DACH,DE,Verden,0192,2026-03-06,Friday,TZ36037606A,A04,null,null,null,0,null,null,null,120
DACH,DE,Verden,0192,2026-03-06,Friday,TZ36037606A,A04,null,null,null,0,null,null,null,120
DACH,DE,Verden,0571,2026-03-06,Friday,TZ36037848A,A03,null,null,null,0,null,null,null,120
DACH,DE,Verden,0571,2026-03-06,Friday,TZ36037848A,A03,null,null,null,0,null,null,null,120
